latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.586995,121.002785,9.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),relative_humidity_2m_max (%),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h)
2015-01-01,22.1,23.7,21.4,16.9,85.0,81.0,25.0
2015-01-02,23.4,25.6,22.2,0.0,82.0,74.0,33.4
2015-01-03,23.8,26.5,22.0,0.0,89.0,78.0,26.8
2015-01-04,24.1,27.8,21.2,0.0,95.0,81.0,18.1
2015-01-05,24.6,28.2,21.6,0.1,96.0,83.0,15.3
2015-01-06,24.8,27.9,21.9,0.0,95.0,82.0,11.1
2015-01-07,24.6,27.7,22.6,0.1,85.0,75.0,16.5
2015-01-08,24.1,26.7,22.5,0.3,84.0,75.0,28.8
2015-01-09,23.2,25.8,21.3,0.2,80.0,74.0,30.6
2015-01-10,23.1,25.5,21.3,0.0,85.0,73.0,27.8
2015-01-11,23.5,25.7,22.0,0.0,84.0,75.0,26.7
2015-01-12,23.6,26.2,22.0,0.0,87.0,76.0,26.2
2015-01-13,24.1,27.2,21.8,0.0,94.0,79.0,18.8
2015-01-14,24.2,27.5,21.3,0.2,96.0,82.0,10.7
2015-01-15,24.5,27.7,22.0,0.1,89.0,78.0,16.1
2015-01-16,24.2,27.6,21.7,0.0,82.0,75.0,21.3
2015-01-16,24.2,27.6,21.7,0.0,82.0,75.0,21.3
2015-01-17,23.4,26.0,21.3,1.8,79.0,70.0,21.5
2015-01-18,21.7,23.1,21.0,42.0,92.0,86.0,18.1
2015-01-19,24.7,27.7,22.3,0.0,94.0,84.0,8.2
2015-01-20,24.9,28.2,21.9,0.0,97.0,83.0,7.0
2015-01-21,25.0,27.9,22.6,0.0,96.0,85.0,11.2
2015-01-22,24.5,27.2,22.7,0.0,88.0,80.0,12.3
2015-01-23,23.2,25.5,21.8,0.0,79.0,73.0,27.2
2015-01-24,23.4,25.2,22.4,0.0,77.0,70.0,27.0
2015-01-25,23.8,27.4,20.9,0.0,91.0,75.0,21.3
2015-01-26,23.5,27.8,19.8,0.0,95.0,79.0,18.4
2015-01-27,24.3,28.2,21.0,0.0,93.0,77.0,12.5
2015-01-28,24.7,28.5,21.5,0.0,95.0,80.0,13.4
2015-01-29,24.7,28.1,21.7,0.0,93.0,80.0,17.0
2015-01-30,24.6,27.7,22.7,0.0,84.0,75.0,16.7
2015-01-31,24.3,27.1,22.3,0.0,77.0,67.0,28.4
2015-02-01,23.7,26.3,21.8,0.0,77.0,72.0,30.6
2015-02-02,23.5,26.3,21.5,0.0,79.0,68.0,32.7
2015-02-03,22.8,26.2,19.7,0.0,90.0,71.0,25.6
2015-02-04,23.2,26.7,20.3,0.0,93.0,76.0,18.2
2015-02-05,23.8,27.7,20.3,0.0,93.0,74.0,14.2
2015-02-06,23.6,27.2,20.3,0.0,94.0,76.0,15.3
2015-02-07,24.3,28.0,20.8,0.2,96.0,78.0,10.4
2015-02-08,24.7,28.9,21.3,0.0,92.0,76.0,9.4
2015-02-09,24.7,28.5,22.2,0.0,81.0,69.0,16.8
2015-02-10,23.9,27.5,20.8,0.0,91.0,74.0,22.4
2015-02-11,24.2,27.5,21.3,0.5,94.0,78.0,15.4
2015-02-12,25.4,28.6,23.2,0.1,86.0,75.0,9.4
2015-02-13,25.2,27.7,23.5,0.6,84.0,74.0,18.6
2015-02-14,24.5,26.6,23.4,6.0,90.0,84.0,21.8
2015-02-15,25.1,27.6,23.1,1.6,92.0,81.0,15.0
2015-02-16,25.2,28.8,22.1,0.0,93.0,79.0,14.8
2015-02-17,25.5,29.2,23.2,0.0,87.0,73.0,15.7
2015-02-17,25.5,29.2,23.2,0.0,87.0,73.0,15.7
2015-02-18,25.2,28.4,22.4,0.0,88.0,72.0,20.5
2015-02-19,24.8,27.4,23.1,0.0,82.0,74.0,21.7
2015-02-20,24.3,27.2,22.5,0.0,81.0,71.0,29.4
2015-02-21,24.5,27.6,21.9,0.0,85.0,71.0,22.4
2015-02-22,24.2,28.4,20.0,0.0,92.0,71.0,20.2
2015-02-23,24.6,29.0,20.6,0.0,94.0,71.0,21.3
