latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
14.586995,121.002785,9.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),relative_humidity_2m_max (%),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h)
2015-01-01,22.1,23.7,21.4,16.90,85,81,25.0
2015-01-02,23.4,25.6,22.2,0.00,82,74,33.4
2015-01-03,23.8,26.5,22.0,0.00,89,78,26.8
2015-01-04,24.1,27.8,21.2,0.00,95,81,18.1
2015-01-05,24.6,28.2,21.6,0.10,96,83,15.3
2015-01-06,24.8,27.9,21.9,0.00,95,82,11.1
2015-01-07,24.6,27.7,22.6,0.10,85,75,16.5
2015-01-08,24.1,26.7,22.5,0.30,84,75,28.8
2015-01-09,23.2,25.8,21.3,0.20,80,74,30.6
2015-01-10,23.1,25.5,21.3,0.00,85,73,27.8
2015-01-11,23.5,25.7,22.0,0.00,84,75,26.7
2015-01-12,23.6,26.2,22.0,0.00,87,76,26.2
2015-01-13,24.1,27.2,21.8,0.00,94,79,18.8
2015-01-14,24.2,27.5,21.3,0.20,96,82,10.7
2015-01-15,24.5,27.7,22.0,0.10,89,78,16.1
2015-01-16,24.2,27.6,21.7,0.00,82,75,21.3
2015-01-17,23.4,26.0,21.3,1.80,79,70,21.5
2015-01-18,21.7,23.1,21.0,42.00,92,86,18.1
2015-01-19,24.7,27.7,22.3,0.00,94,84,8.2
2015-01-20,24.9,28.2,21.9,0.00,97,83,7.0
2015-01-21,25.0,27.9,22.6,0.00,96,85,11.2
2015-01-22,24.5,27.2,22.7,0.00,88,80,12.3
2015-01-23,23.2,25.5,21.8,0.00,79,73,27.2
2015-01-24,23.4,25.2,22.4,0.00,77,70,27.0
2015-01-25,23.8,27.4,20.9,0.00,91,75,21.3
2015-01-26,23.5,27.8,19.8,0.00,95,79,18.4
2015-01-27,24.3,28.2,21.0,0.00,93,77,12.5
2015-01-28,24.7,28.5,21.5,0.00,95,80,13.4
2015-01-29,24.7,28.1,21.7,0.00,93,80,17.0
2015-01-30,24.6,27.7,22.7,0.00,84,75,16.7
2015-01-31,24.3,27.1,22.3,0.00,77,67,28.4
2015-02-01,23.7,26.3,21.8,0.00,77,72,30.6
2015-02-02,23.5,26.3,21.5,0.00,79,68,32.7
2015-02-03,22.8,26.2,19.7,0.00,90,71,25.6
2015-02-04,23.2,26.7,20.3,0.00,93,76,18.2
2015-02-05,23.8,27.7,20.3,0.00,93,74,14.2
2015-02-06,23.6,27.2,20.3,0.00,94,76,15.3
2015-02-07,24.3,28.0,20.8,0.20,96,78,10.4
2015-02-08,24.7,28.9,21.3,0.00,92,76,9.4
2015-02-09,24.7,28.5,22.2,0.00,81,69,16.8
2015-02-10,23.9,27.5,20.8,0.00,91,74,22.4
2015-02-11,24.2,27.5,21.3,0.50,94,78,15.4
2015-02-12,25.4,28.6,23.2,0.10,86,75,9.4
2015-02-13,25.2,27.7,23.5,0.60,84,74,18.6
2015-02-14,24.5,26.6,23.4,6.00,90,84,21.8
2015-02-15,25.1,27.6,23.1,1.60,92,81,15.0
2015-02-16,25.2,28.8,22.1,0.00,93,79,14.8
2015-02-17,25.5,29.2,23.2,0.00,87,73,15.7
2015-02-18,25.2,28.4,22.4,0.00,88,72,20.5
2015-02-19,24.8,27.4,23.1,0.00,82,74,21.7
2015-02-20,24.3,27.2,22.5,0.00,81,71,29.4
2015-02-21,24.5,27.6,21.9,0.00,85,71,22.4
2015-02-22,24.2,28.4,20.0,0.00,92,71,20.2
2015-02-23,24.6,29.0,20.6,0.00,94,71,21.3
2015-02-24,25.3,29.0,21.9,0.00,95,75,16.0
2015-02-25,26.1,30.5,22.7,0.00,93,74,18.7
2015-02-26,26.4,30.2,23.3,0.00,92,73,19.2
2015-02-27,26.2,30.4,22.7,0.00,90,71,23.1
2015-02-28,25.9,30.4,22.0,0.00,94,73,25.1
2015-03-01,25.8,30.2,21.6,0.00,90,69,16.2
2015-03-02,25.5,29.5,22.1,0.00,88,67,23.4
2015-03-03,25.6,30.2,21.6,0.00,91,67,16.5
2015-03-04,26.6,31.5,22.6,0.00,93,70,13.8
2015-03-05,26.0,29.8,22.6,0.00,92,73,20.0
2015-03-06,26.6,31.2,23.6,0.00,85,68,16.8
2015-03-07,26.4,30.9,22.7,0.00,90,72,21.2
2015-03-08,25.2,30.0,20.6,0.00,91,67,23.1
2015-03-09,25.5,30.7,21.2,0.00,89,66,14.6
2015-03-10,25.7,29.2,23.2,0.00,83,64,25.3
2015-03-11,25.3,28.2,23.5,0.00,86,73,23.2
2015-03-12,25.7,29.0,23.4,0.00,86,73,16.6
2015-03-13,26.0,29.5,23.1,0.00,86,71,20.0
2015-03-14,26.3,30.4,23.6,0.00,85,71,21.6
2015-03-15,26.2,30.5,22.5,0.00,91,71,20.2
2015-03-16,25.5,29.7,21.3,0.00,89,70,18.1
2015-03-17,25.2,30.0,20.4,0.00,91,65,16.9
2015-03-18,26.1,30.5,21.4,0.00,89,64,10.2
2015-03-19,26.8,31.7,22.2,0.00,89,62,13.0
2015-03-20,27.1,30.4,24.8,0.00,84,67,9.7
2015-03-21,27.2,30.2,25.3,4.20,92,78,9.9
2015-03-22,27.1,30.0,25.0,0.20,86,75,16.6
2015-03-23,26.4,29.1,24.1,0.00,88,76,19.4
2015-03-24,26.7,29.6,24.4,0.00,82,70,20.5
2015-03-25,26.6,29.7,24.4,0.00,82,71,26.4
2015-03-26,26.7,29.8,24.5,0.20,83,72,26.1
2015-03-27,26.9,30.5,24.1,0.00,85,70,26.4
2015-03-28,26.9,30.9,23.7,0.00,89,70,19.9
2015-03-29,27.3,31.9,23.6,0.00,89,69,21.7
2015-03-30,27.4,31.7,24.2,0.00,86,68,24.8
2015-03-31,28.2,32.7,25.0,0.00,89,70,20.9
2015-04-01,28.0,32.5,24.8,0.00,88,73,21.7
2015-04-02,27.7,33.1,22.9,0.00,93,68,17.0
2015-04-03,27.8,32.9,23.3,0.00,87,64,16.7
2015-04-04,29.1,33.6,26.4,0.00,85,66,18.7
2015-04-05,27.6,30.2,25.3,3.30,90,76,15.1
2015-04-06,28.5,32.7,25.2,0.00,87,69,15.5
2015-04-07,27.2,31.5,23.5,0.00,87,67,22.7
2015-04-08,27.5,31.8,24.5,0.00,83,66,19.9
2015-04-09,27.0,31.2,23.1,0.00,88,67,21.1
2015-04-10,27.3,31.2,23.8,0.00,87,68,18.6
2015-04-11,27.3,31.7,23.1,0.00,90,68,18.7
2015-04-12,28.0,31.9,23.9,0.00,92,68,14.7
2015-04-13,28.5,32.3,25.1,0.00,84,65,8.5
2015-04-14,27.7,31.4,25.0,0.00,76,66,19.8
2015-04-15,27.7,30.9,25.5,0.00,83,69,23.6
2015-04-16,28.6,33.0,25.4,0.10,87,71,13.8
2015-04-17,28.6,32.9,25.8,0.10,85,69,17.7
2015-04-18,28.8,33.3,25.4,0.30,92,71,23.6
2015-04-19,29.4,33.8,26.1,1.40,91,72,11.4
2015-04-20,29.6,33.1,26.5,0.70,86,70,10.4
2015-04-21,28.7,32.6,26.0,1.90,88,75,14.8
2015-04-22,28.6,32.5,25.9,0.10,82,68,21.2
2015-04-23,28.1,32.0,25.2,0.00,85,68,23.0
2015-04-24,28.4,32.5,25.4,0.10,84,68,18.4
2015-04-25,28.6,33.1,25.5,0.00,83,66,20.0
2015-04-26,28.5,33.1,24.6,0.00,91,68,18.9
2015-04-27,28.9,33.0,25.6,0.00,86,68,17.3
2015-04-28,29.7,33.9,25.8,0.00,87,62,10.0
2015-04-29,29.7,34.0,25.4,0.00,89,65,9.4
2015-04-30,29.9,34.7,26.2,0.00,84,63,8.7
2015-05-01,30.1,34.7,26.0,0.00,83,60,14.0
2015-05-02,29.6,33.6,26.2,0.70,89,69,12.3
2015-05-03,28.6,31.4,26.1,2.90,90,75,9.5
2015-05-04,28.3,32.6,25.4,7.60,93,78,10.2
2015-05-05,29.1,32.7,26.2,0.60,90,72,6.8
2015-05-06,29.0,33.0,26.0,0.70,90,73,9.6
2015-05-07,28.6,32.2,25.8,4.30,91,76,7.3
2015-05-08,29.0,32.5,25.3,0.40,93,73,9.2
2015-05-09,28.9,32.5,26.6,1.20,85,74,16.9
2015-05-10,28.4,30.8,26.6,0.00,87,76,22.9
2015-05-11,29.0,31.9,26.1,0.60,90,75,13.7
2015-05-12,29.3,33.0,26.7,0.10,85,72,10.8
2015-05-13,29.2,33.3,26.2,0.00,85,68,19.5
2015-05-14,29.1,32.6,26.0,0.00,85,68,19.1
2015-05-15,29.0,32.6,25.8,0.00,88,70,16.7
2015-05-16,29.6,33.6,25.4,0.00,85,64,9.8
2015-05-17,29.2,33.4,25.2,0.00,88,64,12.6
2015-05-18,29.7,33.8,26.6,0.20,82,62,15.6
2015-05-19,29.3,33.1,25.7,0.00,90,68,17.4
2015-05-20,29.3,32.4,26.2,0.10,91,73,16.1
2015-05-21,28.9,33.0,25.9,1.60,89,74,11.6
2015-05-22,29.4,33.1,26.3,0.50,89,72,10.8
2015-05-23,28.8,32.4,26.3,1.40,90,76,12.3
2015-05-24,28.9,32.9,26.0,0.70,91,75,15.8
2015-05-25,29.0,33.1,26.1,2.50,91,75,15.7
2015-05-26,28.7,31.8,26.3,1.50,88,76,13.3
2015-05-27,28.8,32.3,26.2,1.30,90,75,13.6
2015-05-28,29.4,32.3,27.3,0.50,86,73,15.0
2015-05-29,29.4,32.8,27.5,2.60,84,73,13.0
2015-05-30,28.9,32.3,26.1,1.40,90,76,14.1
2015-05-31,29.4,32.9,26.7,0.00,87,73,9.0
2015-06-01,30.0,34.1,26.9,0.00,86,67,13.5
2015-06-02,29.8,33.4,26.5,0.00,88,69,16.9
2015-06-03,29.2,33.5,25.9,0.40,91,71,7.7
2015-06-04,29.4,33.2,26.0,0.30,89,71,9.8
2015-06-05,29.1,32.1,26.4,1.20,86,72,14.4
2015-06-06,29.4,33.1,26.3,1.00,90,71,13.1
2015-06-07,29.7,33.9,26.3,1.20,89,71,9.4
2015-06-08,29.2,33.4,26.5,1.70,91,75,8.2
2015-06-09,28.7,32.3,26.1,1.70,91,77,8.2
2015-06-10,29.2,32.6,26.1,4.90,88,73,8.7
2015-06-11,28.9,31.2,26.9,1.00,89,77,8.6
2015-06-12,29.6,33.2,26.9,0.40,85,72,13.7
